pay;année;pays;energie;fertilit;espervie;mortinfa;croispop;dépeduc;scolprim;vaagricu;prodelec;engrais;ide;pibhab;irrigati;vaindust;vaservic;urbanisa;analphab;forêt;pêche;tranpair;co2
Portugal;90;Portugal90;1733,83;1,43;73,66;13;-0,41;4,05;123,42;8,58;28355000000;1187,71;-1,3;10769,01;20,19;31,71;59,71;46,66;87,21;3102;323141;167;4,28
Roumanie;90;Roumanie90;2688,97;1,84;69,74;27;0,24;2,83;91,32;23,74;64309000000;1283,07;0;5322,8;30,96;49,94;26,32;53,22;97,08;6685;127734;12,8;6,68
Espagne;90;Espagne90;2348,57;1,33;76,71;8;0,18;4,2;108,55;5,71;1,51E+11;1288,49;0,75;12882,52;16,86;35,48;58,82;75,35;96,26;15807;1321320;759,7;5,45
Syrie;90;Syrie90;984,48;5,34;66,41;37;3,33;4;108,35;28,29;11611000000;622,66;0;2152,47;12,32;24,15;47,56;48,93;64,84;484;5775;17,7;2,96
Tunisie;90;Tunisie90;678,93;3,5;70,31;41;2,42;5,99;113,25;15,72;5811000000;288,42;1,77;3687,03;6,18;29,79;54,49;57,95;59,11;655;89067;19,1;1,63
Turquie;90;Turquie90;943,92;3;66,08;64;2,25;2,16;99,1;18,31;57543000000;765,82;-0,03;4259,5;13,73;29,76;51,93;59,2;77,85;20199;384871;101,3;2,56
Algérie;85;Algérie85;877,28;5,72;63,62;68;3,13;8,32;93,59;9;12274000000;406,12;19,44;4134,29;4,5;53,56;37,44;47,97;44,94;4586;66141;21;3,24
Chypre;85;Chypre85;1658,95;2,38;75,77;14;1,24;3,74;96;7,49;1319000000;1762,43;1,9;6514,44;18,99;28,49;64,02;58,61;92,46;123;2437;24,6;4,78
Egypte;85;Egypte85;547,1;4,6;59,25;97;2,57;5,67;85,36;19,99;31458000000;3746,2;1,48;1991,92;100;28,56;51,46;43,89;43,23;31;215952;98,5;1,36
France;85;France85;3601,9;1,82;75,25;9;0,41;5,64;108,55;4,39;3,43E+11;3177,31;0,02;13329,63;8,26;32,79;62,82;73,65;100;14617;842226;2873,3;6,84
Grèce;85;Grèce85;1846,69;1,68;75,04;15;0,38;2,35;104,23;13,25;27740000000;2456,4;0;9083,16;28,61;30,46;56,3;58,44;93,16;2620;114925;103,1;6,07
Hongrie;85;Hongrie85;2829;1,83;69,5;20;-0,45;5,23;99,1;17,89;26796000000;2656,81;-0,11;7323,75;2,61;46,95;35,15;59,54;98,82;1648;36927;10,3;7,64
Italie;85;Italie85;2406,04;1,39;75,48;12;0,03;4,98;96,48;4,79;1,82E+11;2375,25;0,24;12933,07;20,02;36,1;59,11;66,83;97,07;6414;583697;756,6;6,31
Jordanie;85;Jordanie85;1068,08;6,09;65,79;44;3,58;6,79;71,83;5,52;2495000000;507,89;6,93;3258,05;13,56;25,8;68,68;66,38;75,63;69;197;151,8;3,2
Maroc;85;Maroc85;250,23;4,68;61,01;83;2,19;5,94;77,16;16,6;7345000000;369,69;3,48;2106,51;14,65;33,39;50,01;44,81;33,51;7865;473311;36,2;0,82
